rule_key,nst_level,nst_code,nst_label,pad_category,pad_category_label,original_confidence,audit_tier,adjusted_confidence,audit_note,action
group|01.A|T02,group,01.A,Other raw materials of animal origin,T02,Marchandises générales,0.3,TIER-C,,"Peaux brutes, laine, poils : rare en conteneur à Dakar. T02 catch-all. Reporter.",defer
group|01.B|P05,group,01.B,Fish and other fishing products,P05,Produits de pêche non dénommés ailleurs,0.55,TIER-A,0.8,Match direct : P05 = 'Produits de pêche non dénommés ailleurs'. Poissons et produits de la pêche → P05.,keep_as_is
group|02.1|T07,group,02.1,Coal and lignite,T07,"Clinker, farine, charbon, sable et vracs pondéreux",0.55,TIER-A,0.8,Match direct : label PAD T07 cite 'charbon'. Charbon et lignite → T07.,keep_as_is
group|02.2|T11,group,02.2,Crude petroleum,T11,"Pétrole brut, essences, bitumes, hydrocarbures raffinés",0.6,TIER-A,0.85,Match direct : label PAD T11 cite 'Pétrole brut'. Correspondance explicite.,keep_as_is
group|02.3|T06,group,02.3,Natural gas,T06,"Gasoil, fuel oil, diesel, butane en vrac, phosphates",0.45,TIER-B,0.55,T06 cite 'butane en vrac'. Le gaz naturel n'est pas explicitement nommé mais T06 couvre les hydrocarbures en vrac gazeux. Ambiguïté documentée.,enrich_notes
group|02.3|T11,group,02.3,Natural gas,T11,"Pétrole brut, essences, bitumes, hydrocarbures raffinés",0.4,TIER-C,,T11 secondaire pour le gaz naturel. T06 est plus pertinent pour les hydrocarbures gazeux. Reporter.,defer
group|03.1|T03,group,03.1,Iron ores,T03,"Acides, sucres et matières premières",0.5,TIER-A,0.75,Minerais de fer = matières premières brutes. T03 'matières premières' pertinent.,keep_as_is
group|03.2|T03,group,03.2,Non ferrous metal ores (except uranium and thorium ores),T03,"Acides, sucres et matières premières",0.45,TIER-B,0.6,Minerais non ferreux = matières premières. Même logique que 03.1 avec confidence légèrement inférieure car plus variés.,keep_as_is
group|03.3|T06,group,03.3,Chemical and (natural) fertilizer minerals,T06,"Gasoil, fuel oil, diesel, butane en vrac, phosphates",0.4,TIER-B,0.5,CONFLIT T06/T08 pour phosphates. T06 cite 'phosphates' mais T08 aussi. Confidence baissée. Validation opérateur obligatoire pour arbitrer.,adjust_confidence
group|03.3|T08,group,03.3,Chemical and (natural) fertilizer minerals,T08,"Attapulgite, phosphates, ferrailles, tourteaux, cellulose",0.5,TIER-B,0.6,CONFLIT T06/T08 : T08 cite aussi 'phosphates'. T08 semble plus pertinent car les phosphates y sont listés avec d'autres minéraux fertilisants. Priorité T08 > T06 recommandée.,enrich_notes
group|03.4|T10,group,03.4,Salt,T10,Sel de production locale,0.55,TIER-A,0.8,"Match direct : T10 = 'Sel de production locale'. Note : T10 précise 'production locale', peut ne pas convenir pour sel importé. Validation opérateur recommandée.",enrich_notes
group|03.5|T07,group,03.5,"Stone, sand, gravel, clay, peat and other mining and quarrying products n.e.c.",T07,"Clinker, farine, charbon, sable et vracs pondéreux",0.55,TIER-A,0.8,"Match direct : T07 cite 'sable et vracs pondéreux'. Pierre, sable, gravier → T07.",keep_as_is
group|03.6|T03,group,03.6,Uranium and thorium ores,T03,"Acides, sucres et matières premières",0.3,TIER-C,,Minerais d'uranium et thorium : inexistant en trafic Dakar. Retirer du manifeste.,remove
group|04.1|T02,group,04.1,"Meat, raw hides and skins and meat products",T02,Marchandises générales,0.45,TIER-B,0.55,Viandes et produits carnés : marchandises générales. Flux réel à Dakar (viande importée). T02 acceptable.,keep_as_is
group|04.2|P05,group,04.2,"Fish and fish products, processed and preserved",P05,Produits de pêche non dénommés ailleurs,0.5,TIER-A,0.75,Poissons transformés et conservés → P05. Les produits de pêche transformés restent dans la famille PAD pêche.,keep_as_is
group|04.3|T02,group,04.3,"Fruit and vegetables, processed and preserved",T02,Marchandises générales,0.45,TIER-B,0.55,Fruits/légumes transformés (conserves). Marchandises générales. Flux réel à Dakar.,keep_as_is
group|04.4|T02,group,04.4,Animal and vegetable oils and fats,T02,Marchandises générales,0.4,TIER-B,0.55,"Huiles alimentaires en conteneur. T02 par défaut. Flux important à Dakar (huile de palme, arachide).",keep_as_is
group|04.5|T02,group,04.5,Dairy products and ice cream,T02,Marchandises générales,0.4,TIER-B,0.5,Produits laitiers : marchandises générales réfrigérées. Flux réel à Dakar (lait en poudre).,keep_as_is
group|04.6|T05,group,04.6,"Grain mill products, starches, starch products and prepared animal feeds",T05,"Céréales, ciment, riz et produits assimilés",0.55,TIER-A,0.8,"Match direct : T05 = 'Céréales, ciment, riz et produits assimilés'. Farines = produits céréaliers transformés.",keep_as_is
group|04.6|T07,group,04.6,"Grain mill products, starches, starch products and prepared animal feeds",T07,"Clinker, farine, charbon, sable et vracs pondéreux",0.4,TIER-B,0.5,"CONFLIT T05/T07 pour farine : T07 cite 'farine' pour le vrac. Dépend du conditionnement (vrac → T07, conditionné → T05). Confidence baissée. Validation opérateur nécessaire.",adjust_confidence
group|04.7|T01,group,04.7,Beverages,T01,"Biens de valeur, électronique, informatique et mobilier",0.4,TIER-B,0.5,T01 pertinent pour boissons alcoolisées (alias PAD existant). Confidence baissée car ne couvre que la composante alcool du groupe.,adjust_confidence
group|04.7|T02,group,04.7,Beverages,T02,Marchandises générales,0.35,TIER-B,0.5,"T02 pertinent pour boissons non alcoolisées (eau, jus). Conflit T01/T02 documenté : dépend du type de boisson.",keep_as_is
group|04.8|T01,group,04.8,Other food products n.e.c. and tobacco products (except in parcel service or grouped),T01,"Biens de valeur, électronique, informatique et mobilier",0.35,TIER-B,0.45,T01 pertinent uniquement pour tabac/cigarettes (alias PAD). Confidence baissée car très partiel.,adjust_confidence
group|04.8|T02,group,04.8,Other food products n.e.c. and tobacco products (except in parcel service or grouped),T02,Marchandises générales,0.45,TIER-B,0.55,T02 pour denrées alimentaires diverses et tabac. Candidat principal. Flux réel à Dakar.,keep_as_is
group|05.1|T12,group,05.1,Textiles,T12,Matériaux et produits manufacturés,0.45,TIER-B,0.6,Textiles manufacturés → T12 produits manufacturés. Pertinent.,keep_as_is
group|05.2|T12,group,05.2,Wearing apparel and articles of fur,T12,Matériaux et produits manufacturés,0.45,TIER-B,0.6,Vêtements → T12 produits manufacturés. Flux réel à Dakar (friperie).,keep_as_is
group|05.3|T12,group,05.3,Leather and leather products,T12,Matériaux et produits manufacturés,0.45,TIER-B,0.6,Articles en cuir → T12 produits manufacturés. Acceptable.,keep_as_is
group|06.1|T04,group,06.1,Products of wood and cork (except furniture),T04,Bois et produits divers,0.6,TIER-A,0.85,Match direct : T04 = 'Bois et produits divers'. Produits en bois → T04.,keep_as_is
group|06.2|T04,group,06.2,"Pulp, paper and paper products",T04,Bois et produits divers,0.5,TIER-A,0.75,"Pâte à papier, papier → T04 'Bois et produits divers'. Le papier dérive du bois.",keep_as_is
group|06.3|T12,group,06.3,Printed matter and recorded media,T12,Matériaux et produits manufacturés,0.4,TIER-B,0.55,Imprimés et médias enregistrés → T12 produits manufacturés. Acceptable.,keep_as_is
group|07.1|T07,group,07.1,"Coke oven products; briquettes, ovoids and similar solid fuels",T07,"Clinker, farine, charbon, sable et vracs pondéreux",0.55,TIER-A,0.8,"Coke, briquettes, combustibles solides → T07 vracs pondéreux. T07 cite 'charbon'.",keep_as_is
group|07.2|T06,group,07.2,Liquid refined petroleum products,T06,"Gasoil, fuel oil, diesel, butane en vrac, phosphates",0.5,TIER-B,0.55,"CONFLIT T06/T11 : T06 = carburants courants en vrac (gasoil, fuel oil), T11 = hydrocarbures raffinés au sens large. T06 pertinent si carburants courants. Candidat secondaire.",enrich_notes
group|07.2|T11,group,07.2,Liquid refined petroleum products,T11,"Pétrole brut, essences, bitumes, hydrocarbures raffinés",0.65,TIER-A,0.85,"NSTR bridge vérifié : 37 mappings NSTR pour le groupe 07.2 (pas 76 comme cité dans le manifeste — 76 est le total division 07). T11 cite 'essences, bitumes, hydrocarbures raffinés'. Match direct confirmé par bridge NSTR. Note : le manifeste citait le total division (76), corrigé ici au group-level (37).",enrich_notes
group|07.3|T06,group,07.3,"Gaseous, liquefied or compressed petroleum products",T06,"Gasoil, fuel oil, diesel, butane en vrac, phosphates",0.55,TIER-A,0.8,T06 cite 'butane en vrac'. Produits pétroliers gazeux/liquéfiés → T06. Match direct.,keep_as_is
group|07.4|T11,group,07.4,Solid or waxy refined petroleum products,T11,"Pétrole brut, essences, bitumes, hydrocarbures raffinés",0.5,TIER-A,0.8,T11 cite 'bitumes'. Produits pétroliers solides/cireux → T11.,keep_as_is
group|08.1|T03,group,08.1,Basic mineral chemical products,T03,"Acides, sucres et matières premières",0.55,TIER-A,0.8,T03 cite 'Acides'. Produits chimiques minéraux de base (acides) → T03. Match direct.,keep_as_is
group|08.2|T03,group,08.2,Basic organic chemical products,T03,"Acides, sucres et matières premières",0.45,TIER-B,0.6,Chimie organique de base → T03 matières premières chimiques. Pertinent mais ambiguïté avec T12 pour produits finis.,keep_as_is
group|08.3|T08,group,08.3,Nitrogen compounds and fertilizers (except natural fertilizers),T08,"Attapulgite, phosphates, ferrailles, tourteaux, cellulose",0.5,TIER-B,0.65,Engrais azotés → T08. T08 couvre phosphates et produits fertilisants. Pertinent. Flux réel au Sénégal (ICS).,keep_as_is
group|08.4|T03,group,08.4,Basic plastics and synthetic rubber in primary forms,T03,"Acides, sucres et matières premières",0.45,TIER-B,0.55,CONFLIT T03/T12 : granulés plastiques bruts = matière première (T03) vs plaques/films semi-finis (T12). Dépend du degré de transformation. Validation opérateur nécessaire.,enrich_notes
group|08.4|T12,group,08.4,Basic plastics and synthetic rubber in primary forms,T12,Matériaux et produits manufacturés,0.4,TIER-B,0.45,T12 secondaire pour plastiques semi-finis. Confidence baissée car T03 est prioritaire pour les formes primaires.,adjust_confidence
group|08.5|T01,group,08.5,Pharmaceuticals and parachemicals including pesticides and other agro-chemical products,T01,"Biens de valeur, électronique, informatique et mobilier",0.45,TIER-B,0.6,Produits pharmaceutiques = biens de valeur → T01. Flux réel à Dakar. Pertinent.,keep_as_is
group|08.5|T02,group,08.5,Pharmaceuticals and parachemicals including pesticides and other agro-chemical products,T02,Marchandises générales,0.35,TIER-C,,T02 secondaire pour pharma/pesticides. T01 est plus pertinent pour la composante pharma. Reporter.,defer
group|08.6|T12,group,08.6,Rubber or plastic products,T12,Matériaux et produits manufacturés,0.5,TIER-A,0.75,"Produits en caoutchouc/plastique finis (pneus, tuyaux) → T12 produits manufacturés. Flux réel à Dakar.",keep_as_is
group|08.7|T03,group,08.7,Nuclear fuel,T03,"Acides, sucres et matières premières",0.25,TIER-C,,Combustible nucléaire : inexistant en trafic Dakar. Retirer du manifeste.,remove
group|09.1|T12,group,09.1,"Glass and glass products, ceramic and porcelain products",T12,Matériaux et produits manufacturés,0.45,TIER-B,0.6,"Verre, céramique, porcelaine → T12 produits manufacturés. Pertinent.",keep_as_is
group|09.2|T05,group,09.2,"Cement, lime and plaster",T05,"Céréales, ciment, riz et produits assimilés",0.6,TIER-A,0.85,"Match direct : T05 cite 'ciment'. CONFLIT T05/T07 documenté : ciment fini → T05, clinker/vrac → T07. Candidat primaire pour ciment conditionné.",enrich_notes
group|09.2|T07,group,09.2,"Cement, lime and plaster",T07,"Clinker, farine, charbon, sable et vracs pondéreux",0.45,TIER-B,0.55,CONFLIT T05/T07 : T07 cite 'clinker'. Candidat si clinker ou ciment en vrac. Secondaire derrière T05 pour ciment fini.,enrich_notes
group|09.3|T07,group,09.3,"Other construction materials, manufactures",T07,"Clinker, farine, charbon, sable et vracs pondéreux",0.4,TIER-B,0.55,"Matériaux de construction en vrac (graviers, agrégats) → T07. Dépend du conditionnement.",keep_as_is
group|09.3|T12,group,09.3,"Other construction materials, manufactures",T12,Matériaux et produits manufacturés,0.45,TIER-B,0.6,"Carrelage, briques, tuiles → T12 matériaux de construction manufacturés. Pertinent.",keep_as_is
group|10.1|T14,group,10.1,Basic iron and steel and ferro-alloys and products of the first processing of iron and steel (except tubes),T14,Fil machine et feuillard,0.6,TIER-A,0.85,Match direct : T14 = 'Fil machine et feuillard'. NSTR bridge vérifié : 348 mappings NSTR pour le groupe 10.1 (pas 1039 — 1039 est le total division 10). Produits sidérurgiques de première transformation → T14. Note manifeste corrigée.,enrich_notes
group|10.2|T12,group,10.2,Non ferrous metals and products thereof,T12,Matériaux et produits manufacturés,0.45,TIER-B,0.6,"Métaux non ferreux transformés (aluminium, cuivre) → T12 matériaux manufacturés. Pertinent.",keep_as_is
group|10.3|T12,group,10.3,"Tubes, pipes, hollow profiles and related fittings",T12,Matériaux et produits manufacturés,0.5,TIER-A,0.75,"Tubes, tuyaux, profilés creux → T12 produits manufacturés. Flux réel à Dakar.",keep_as_is
group|10.4|T12,group,10.4,Structural metal products,T12,Matériaux et produits manufacturés,0.5,TIER-A,0.75,"Charpentes, pylônes, structures métalliques → T12. Flux réel à Dakar.",keep_as_is
group|10.5|T01,group,10.5,"Boilers, hardware, weapons and other fabricated metal products",T01,"Biens de valeur, électronique, informatique et mobilier",0.3,TIER-C,,T01 uniquement pour la composante armes (alias PAD 'armurerie'). Trop partiel pour le groupe entier. Reporter.,defer
group|10.5|T12,group,10.5,"Boilers, hardware, weapons and other fabricated metal products",T12,Matériaux et produits manufacturés,0.45,TIER-B,0.6,"Chaudières, quincaillerie → T12 produits manufacturés. Candidat principal pour le groupe.",keep_as_is
group|11.1|T09,group,11.1,Agricultural and forestry machinery,T09,"Tracteurs, véhicules industriels et matériel de transport",0.55,TIER-A,0.8,Match direct : T09 cite 'Tracteurs'. Machines agricoles → T09.,keep_as_is
group|11.2|T01,group,11.2,Domestic appliances n.e.c. (White goods),T01,"Biens de valeur, électronique, informatique et mobilier",0.45,TIER-B,0.6,Électroménager → T01 biens de valeur. Flux réel à Dakar. Ambiguïté avec T12 pour petits appareils.,keep_as_is
group|11.3|T01,group,11.3,Office machinery and computers,T01,"Biens de valeur, électronique, informatique et mobilier",0.6,TIER-A,0.85,Match direct : T01 cite 'informatique'. Alias PAD : 'mat informatique ordinateurs' → T01.,keep_as_is
group|11.4|T01,group,11.4,Electric machinery and apparatus n.e.c.,T01,"Biens de valeur, électronique, informatique et mobilier",0.45,TIER-B,0.6,Appareils électriques → T01 'électronique'. Ambiguïté avec T12 pour équipements industriels.,keep_as_is
group|11.4|T12,group,11.4,Electric machinery and apparatus n.e.c.,T12,Matériaux et produits manufacturés,0.35,TIER-C,,T12 secondaire faible pour machines électriques industrielles. T01 est prioritaire. Reporter.,defer
group|11.5|T01,group,11.5,Electronic components and emission and transmission appliances,T01,"Biens de valeur, électronique, informatique et mobilier",0.55,TIER-A,0.8,Composants électroniques → T01 'électronique'. Match direct.,keep_as_is
group|11.6|T01,group,11.6,Television and radio receivers; sound or video recording or reproducing apparatus and associated goods (Brown goods),T01,"Biens de valeur, électronique, informatique et mobilier",0.6,TIER-A,0.85,"TV, radio, audio/vidéo → T01. Alias PAD confirmés : 'electrophones chaines hifi', 'magnetophones magnetoscopes tv'.",keep_as_is
group|11.7|T01,group,11.7,"Medical, precision and optical instruments, watches and clocks",T01,"Biens de valeur, électronique, informatique et mobilier",0.55,TIER-A,0.8,"Instruments médicaux, optiques, horlogerie → T01 biens de valeur. Alias PAD : 'horlogerie', 'instruments de mesure'.",keep_as_is
group|11.8|T09,group,11.8,"Other machines, machine tools and parts",T09,"Tracteurs, véhicules industriels et matériel de transport",0.45,TIER-B,0.55,Machines-outils industrielles → T09. Pertinent mais confidence ajustée car le groupe est hétérogène.,adjust_confidence
group|11.8|T12,group,11.8,"Other machines, machine tools and parts",T12,Matériaux et produits manufacturés,0.4,TIER-C,,T12 tertiaire pour pièces détachées et petites machines. T09 est prioritaire. Reporter.,defer
group|12.1|T09,group,12.1,Automobile industry products,T09,"Tracteurs, véhicules industriels et matériel de transport",0.6,TIER-A,0.85,"Match direct : T09 = 'Tracteurs, véhicules industriels et matériel de transport'. NSTR bridge vérifié : 164 mappings NSTR pour le groupe 12.1 (pas 312 — 312 est le total division 12). Note manifeste corrigée.",enrich_notes
group|12.2|T09,group,12.2,Other transport equipment,T09,"Tracteurs, véhicules industriels et matériel de transport",0.55,TIER-A,0.8,"Navires, avions, wagons, remorques → T09 matériel de transport.",keep_as_is
group|13.1|T01,group,13.1,Furniture,T01,"Biens de valeur, électronique, informatique et mobilier",0.55,TIER-A,0.8,Match direct : T01 cite 'mobilier'. Meubles → T01.,keep_as_is
group|13.2|T01,group,13.2,Other manufactured goods,T01,"Biens de valeur, électronique, informatique et mobilier",0.35,TIER-B,0.45,"T01 pertinent uniquement pour bijouterie vraie, instruments de musique (alias PAD). Trop partiel. Confidence baissée.",adjust_confidence
group|13.2|T12,group,13.2,Other manufactured goods,T12,Matériaux et produits manufacturés,0.45,TIER-B,0.6,"Produits manufacturés divers (jouets, articles de sport) → T12. Candidat principal pour le groupe.",keep_as_is
group|14.1|T08,group,14.1,Household and municipal waste,T08,"Attapulgite, phosphates, ferrailles, tourteaux, cellulose",0.35,TIER-C,,Déchets ménagers/municipaux : très rare en trafic maritime Dakar. T08 ferrailles ne convient que pour déchets métalliques. Reporter.,defer
group|14.2|T08,group,14.2,Other waste and secondary raw materials,T08,"Attapulgite, phosphates, ferrailles, tourteaux, cellulose",0.5,TIER-B,0.6,"T08 cite 'ferrailles'. NSTR bridge vérifié : 117 mappings NSTR pour le groupe 14.2 (pas 118 — 118 est le total division 14, incluant 1 mapping pour 14.1). Note manifeste corrigée. Matières premières secondaires/ferrailles → T08.",enrich_notes
group|16.1|T09,group,16.1,"Containers and swap bodies in service, empty",T09,"Tracteurs, véhicules industriels et matériel de transport",0.45,TIER-C,,Conteneurs vides en service : le droit de passage PAD n'est pas toujours applicable. Usage marginal. Reporter.,defer
group|17.1|T02,group,17.1,Household removal,T02,Marchandises générales,0.35,TIER-C,,Déménagement : usage rare en maritime commercial Dakar. T02 catch-all. Reporter.,defer
group|17.5|T02,group,17.5,Other non market goods n.e.c.,T02,Marchandises générales,0.25,TIER-C,,Catégorie résiduelle extrêmement vague. Confidence minimale (0.25). Aucune valeur opérationnelle. Retirer.,remove
